productkey,customerkey,salesamount,orderdate,duedate,shipdate
346,11238,3399.99,01-06-2020,1/18/2020,1/13/2020
346,25861,3399.99,01-06-2020,1/18/2020,1/13/2020
314,16629,3578.27,01-06-2020,1/18/2020,1/13/2020
350,11025,3374.99,01-06-2020,1/18/2020,1/13/2020
312,27577,3578.27,01-06-2020,1/18/2020,1/13/2020
312,27604,3578.27,01-07-2020,1/19/2020,1/14/2020
310,16522,3578.27,01-07-2020,1/19/2020,1/14/2020
346,11002,3399.99,01-07-2020,1/19/2020,1/14/2020
311,13261,3578.27,01-08-2020,1/20/2020,1/15/2020
312,11606,3578.27,01-08-2020,1/20/2020,1/15/2020
310,13563,3578.27,01-08-2020,1/20/2020,1/15/2020
312,16527,3578.27,01-08-2020,1/20/2020,1/15/2020
310,27671,3578.27,01-09-2020,1/21/2020,1/16/2020
314,13576,3578.27,01-09-2020,1/21/2020,1/16/2020
347,11007,3399.99,01-09-2020,1/21/2020,1/16/2020
313,16631,3578.27,01-09-2020,1/21/2020,1/16/2020
311,16514,3578.27,01-10-2020,1/22/2020,1/17/2020
312,16616,3578.27,01-10-2020,1/22/2020,1/17/2020
314,27623,3578.27,01-11-2020,1/23/2020,1/18/2020
313,27625,3578.27,01-11-2020,1/23/2020,1/18/2020
314,27636,3578.27,01-11-2020,1/23/2020,1/18/2020
311,11591,3578.27,01-11-2020,1/23/2020,1/18/2020
313,11592,3578.27,01-11-2020,1/23/2020,1/18/2020
311,13265,3578.27,01-11-2020,1/23/2020,1/18/2020
310,16482,3578.27,01-11-2020,1/23/2020,1/18/2020
312,27617,3578.27,01-12-2020,1/24/2020,1/19/2020
311,27670,3578.27,01-12-2020,1/24/2020,1/19/2020
332,19941,699.1,01-12-2020,1/24/2020,1/19/2020
350,11017,3374.99,01-12-2020,1/24/2020,1/19/2020
310,27646,3578.27,1/13/2020,1/25/2020,1/20/2020
310,13257,3578.27,1/13/2020,1/25/2020,1/20/2020
314,16352,3578.27,1/13/2020,1/25/2020,1/20/2020
310,16493,3578.27,1/13/2020,1/25/2020,1/20/2020
314,27578,3578.27,1/14/2020,1/26/2020,1/21/2020
313,16525,3578.27,1/14/2020,1/26/2020,1/21/2020
310,16612,3578.27,1/14/2020,1/26/2020,1/21/2020
346,11010,3399.99,1/14/2020,1/26/2020,1/21/2020
313,16518,3578.27,1/15/2020,1/27/2020,1/22/2020
350,11001,3374.99,1/15/2020,1/27/2020,1/22/2020
312,27649,3578.27,1/16/2020,1/28/2020,1/23/2020
312,21659,3578.27,1/16/2020,1/28/2020,1/23/2020
312,27614,3578.27,1/16/2020,1/28/2020,1/23/2020
330,14559,699.1,1/16/2020,1/28/2020,1/23/2020
312,16524,3578.27,1/16/2020,1/28/2020,1/23/2020
314,16526,3578.27,1/16/2020,1/28/2020,1/23/2020
313,16348,3578.27,1/16/2020,1/28/2020,1/23/2020
347,11027,3399.99,1/16/2020,1/28/2020,1/23/2020
314,13260,3578.27,1/17/2020,1/29/2020,1/24/2020
311,16515,3578.27,1/17/2020,1/29/2020,1/24/2020
345,11018,3399.99,1/17/2020,1/29/2020,1/24/2020
326,25252,699.1,1/17/2020,1/29/2020,1/24/2020
311,11599,3578.27,1/18/2020,1/30/2020,1/25/2020
312,16495,3578.27,1/18/2020,1/30/2020,1/25/2020
312,16516,3578.27,1/18/2020,1/30/2020,1/25/2020
312,16620,3578.27,1/18/2020,1/30/2020,1/25/2020
310,27667,3578.27,1/19/2020,1/31/2020,1/26/2020
311,11601,3578.27,1/19/2020,1/31/2020,1/26/2020
311,11607,3578.27,1/19/2020,1/31/2020,1/26/2020
344,29385,3399.99,1/19/2020,1/31/2020,1/26/2020
351,11239,3374.99,1/19/2020,1/31/2020,1/26/2020
351,25865,3374.99,1/19/2020,1/31/2020,1/26/2020
344,25857,3399.99,1/19/2020,1/31/2020,1/26/2020
314,16484,3578.27,1/19/2020,1/31/2020,1/26/2020
312,16623,3578.27,1/19/2020,1/31/2020,1/26/2020
344,11000,3399.99,1/19/2020,1/31/2020,1/26/2020
347,11029,3399.99,1/19/2020,1/31/2020,1/26/2020
312,27615,3578.27,1/20/2020,02-01-2020,1/27/2020
342,17956,699.1,1/20/2020,02-01-2020,1/27/2020
312,16345,3578.27,1/20/2020,02-01-2020,1/27/2020
310,16521,3578.27,1/20/2020,02-01-2020,1/27/2020
312,16636,3578.27,1/20/2020,02-01-2020,1/27/2020
311,21710,3578.27,1/21/2020,02-02-2020,1/28/2020
311,13583,3578.27,1/21/2020,02-02-2020,1/28/2020
312,11593,3578.27,1/21/2020,02-02-2020,1/28/2020
314,21741,3578.27,1/22/2020,02-03-2020,1/29/2020
310,13585,3578.27,1/22/2020,02-03-2020,1/29/2020
328,14510,699.1,1/22/2020,02-03-2020,1/29/2020
312,16523,3578.27,1/22/2020,02-03-2020,1/29/2020
312,11611,3578.27,1/23/2020,02-04-2020,1/30/2020
313,13259,3578.27,1/23/2020,02-04-2020,1/30/2020
310,16350,3578.27,1/23/2020,02-04-2020,1/30/2020
345,11004,3399.99,1/23/2020,02-04-2020,1/30/2020
346,11026,3399.99,1/23/2020,02-04-2020,1/30/2020
312,27662,3578.27,1/24/2020,02-05-2020,1/31/2020
350,28390,3374.99,1/24/2020,02-05-2020,1/31/2020
350,25866,3374.99,1/24/2020,02-05-2020,1/31/2020
311,16494,3578.27,1/24/2020,02-05-2020,1/31/2020
314,16496,3578.27,1/24/2020,02-05-2020,1/31/2020
310,16519,3578.27,1/24/2020,02-05-2020,1/31/2020
312,16528,3578.27,1/24/2020,02-05-2020,1/31/2020
346,11006,3399.99,1/24/2020,02-05-2020,1/31/2020
312,27651,3578.27,1/25/2020,02-06-2020,02-01-2020
310,27663,3578.27,1/25/2020,02-06-2020,02-01-2020
313,27669,3578.27,1/25/2020,02-06-2020,02-01-2020
342,19942,699.1,1/25/2020,02-06-2020,02-01-2020
338,14558,699.1,1/25/2020,02-06-2020,02-01-2020
313,16349,3578.27,1/25/2020,02-06-2020,02-01-2020
348,11008,3374.99,1/25/2020,02-06-2020,02-01-2020
338,25250,699.1,1/25/2020,02-06-2020,02-01-2020
310,27605,3578.27,1/26/2020,02-07-2020,02-02-2020
310,27611,3578.27,1/26/2020,02-07-2020,02-02-2020
311,16347,3578.27,1/26/2020,02-07-2020,02-02-2020
349,11028,3374.99,1/26/2020,02-07-2020,02-02-2020
310,13584,3578.27,1/26/2020,02-07-2020,02-02-2020
310,21727,3578.27,1/27/2020,02-08-2020,02-03-2020
348,28393,3374.99,1/27/2020,02-08-2020,02-03-2020
348,19802,3374.99,1/27/2020,02-08-2020,02-03-2020
324,26620,699.1,1/27/2020,02-08-2020,02-03-2020
350,11009,3374.99,1/27/2020,02-08-2020,02-03-2020
313,27641,3578.27,1/28/2020,02-09-2020,02-04-2020
311,27673,3578.27,1/28/2020,02-09-2020,02-04-2020
326,17957,699.1,1/28/2020,02-09-2020,02-04-2020
314,13406,3578.27,1/28/2020,02-09-2020,02-04-2020
312,16630,3578.27,1/28/2020,02-09-2020,02-04-2020
313,22041,3578.27,1/29/2020,02-10-2020,02-05-2020
314,12124,3578.27,1/29/2020,02-10-2020,02-05-2020
313,28066,3578.27,1/29/2020,02-10-2020,02-05-2020
313,16743,3578.27,1/29/2020,02-10-2020,02-05-2020
310,13546,3578.27,1/29/2020,02-10-2020,02-05-2020
312,28018,3578.27,1/30/2020,02-11-2020,02-06-2020
310,12132,3578.27,1/30/2020,02-11-2020,02-06-2020
314,16661,3578.27,1/30/2020,02-11-2020,02-06-2020
351,11055,3374.99,1/31/2020,02-12-2020,02-07-2020
314,16662,3578.27,1/31/2020,02-12-2020,02-07-2020
313,16740,3578.27,1/31/2020,02-12-2020,02-07-2020
322,25270,699.1,1/31/2020,02-12-2020,02-07-2020
312,28038,3578.27,02-01-2020,2/13/2020,02-08-2020
313,13548,3578.27,02-01-2020,2/13/2020,02-08-2020
314,16741,3578.27,02-01-2020,2/13/2020,02-08-2020
347,11031,3399.99,02-01-2020,2/13/2020,02-08-2020
346,11034,3399.99,02-01-2020,2/13/2020,02-08-2020
334,20048,699.1,02-02-2020,2/14/2020,02-09-2020
311,28065,3578.27,02-02-2020,2/14/2020,02-09-2020
312,17047,3578.27,02-02-2020,2/14/2020,02-09-2020
310,16686,3578.27,02-02-2020,2/14/2020,02-09-2020
312,16659,3578.27,02-02-2020,2/14/2020,02-09-2020
336,25294,699.1,02-02-2020,2/14/2020,02-09-2020
314,13600,3578.27,02-03-2020,2/15/2020,02-10-2020
310,17051,3578.27,02-03-2020,2/15/2020,02-10-2020
338,14565,699.1,02-03-2020,2/15/2020,02-10-2020
344,11054,3399.99,02-03-2020,2/15/2020,02-10-2020
310,16675,3578.27,02-03-2020,2/15/2020,02-10-2020
313,16687,3578.27,02-03-2020,2/15/2020,02-10-2020
310,16712,3578.27,02-03-2020,2/15/2020,02-10-2020
345,11047,3399.99,02-03-2020,2/15/2020,02-10-2020
310,27726,3578.27,02-04-2020,2/16/2020,02-11-2020
311,28014,3578.27,02-04-2020,2/16/2020,02-11-2020
311,16696,3578.27,02-04-2020,2/16/2020,02-11-2020
312,16639,3578.27,02-04-2020,2/16/2020,02-11-2020
342,20049,699.1,02-05-2020,2/17/2020,02-12-2020
311,13602,3578.27,02-05-2020,2/17/2020,02-12-2020
314,13661,3578.27,02-05-2020,2/17/2020,02-12-2020
344,11030,3399.99,02-05-2020,2/17/2020,02-12-2020
313,28068,3578.27,02-06-2020,2/18/2020,2/13/2020
312,16658,3578.27,02-06-2020,2/18/2020,2/13/2020
348,11035,3374.99,02-06-2020,2/18/2020,2/13/2020
349,11046,3374.99,02-06-2020,2/18/2020,2/13/2020
311,28031,3578.27,02-07-2020,2/19/2020,2/14/2020
312,28076,3578.27,02-07-2020,2/19/2020,2/14/2020
314,16685,3578.27,02-07-2020,2/19/2020,2/14/2020
312,16745,3578.27,02-07-2020,2/19/2020,2/14/2020
351,11038,3374.99,02-07-2020,2/19/2020,2/14/2020
347,11039,3399.99,02-07-2020,2/19/2020,2/14/2020
313,28040,3578.27,02-08-2020,2/20/2020,2/15/2020
313,28067,3578.27,02-08-2020,2/20/2020,2/15/2020
310,28071,3578.27,02-08-2020,2/20/2020,2/15/2020
311,16684,3578.27,02-08-2020,2/20/2020,2/15/2020
314,16657,3578.27,02-08-2020,2/20/2020,2/15/2020
314,21939,3578.27,02-09-2020,2/21/2020,2/16/2020
312,28039,3578.27,02-09-2020,2/21/2020,2/16/2020
312,13687,3578.27,02-09-2020,2/21/2020,2/16/2020
312,13540,3578.27,02-09-2020,2/21/2020,2/16/2020
310,28063,3578.27,02-09-2020,2/21/2020,2/16/2020
312,16703,3578.27,02-09-2020,2/21/2020,2/16/2020
310,28030,3578.27,02-10-2020,2/22/2020,2/17/2020
322,14576,699.1,02-10-2020,2/22/2020,2/17/2020
351,11048,3374.99,02-10-2020,2/22/2020,2/17/2020
314,16664,3578.27,02-10-2020,2/22/2020,2/17/2020
342,25271,699.1,02-10-2020,2/22/2020,2/17/2020
314,28017,3578.27,02-11-2020,2/23/2020,2/18/2020
311,13545,3578.27,02-11-2020,2/23/2020,2/18/2020
313,13515,3578.27,02-11-2020,2/23/2020,2/18/2020
310,28070,3578.27,02-11-2020,2/23/2020,2/18/2020
310,28042,3578.27,02-12-2020,2/24/2020,2/19/2020
344,11244,3399.99,02-12-2020,2/24/2020,2/19/2020
312,28083,3578.27,02-12-2020,2/24/2020,2/19/2020
344,25872,3399.99,02-12-2020,2/24/2020,2/19/2020
310,16660,3578.27,02-12-2020,2/24/2020,2/19/2020
311,16638,3578.27,02-12-2020,2/24/2020,2/19/2020
314,16929,3578.27,2/14/2020,2/26/2020,2/21/2020
314,27681,3578.27,2/15/2020,2/27/2020,2/22/2020
312,21813,3578.27,2/15/2020,2/27/2020,2/22/2020
310,27920,3578.27,2/15/2020,2/27/2020,2/22/2020
310,28022,3578.27,2/15/2020,2/27/2020,2/22/2020
348,11033,3374.99,2/15/2020,2/27/2020,2/22/2020
311,28047,3578.27,2/15/2020,2/27/2020,2/22/2020
311,27918,3578.27,2/16/2020,2/28/2020,2/23/2020
313,28044,3578.27,2/16/2020,2/28/2020,2/23/2020
336,14572,699.1,2/16/2020,2/28/2020,2/23/2020
342,19325,699.1,2/16/2020,2/28/2020,2/23/2020
310,28061,3578.27,2/16/2020,2/28/2020,2/23/2020
334,26629,699.1,2/16/2020,2/28/2020,2/23/2020
310,16744,3578.27,2/16/2020,2/28/2020,2/23/2020
320,25555,699.1,2/16/2020,2/28/2020,2/23/2020
312,27678,3578.27,2/17/2020,03-01-2020,2/24/2020
314,27759,3578.27,2/17/2020,03-01-2020,2/24/2020
310,13680,3578.27,2/17/2020,03-01-2020,2/24/2020
310,13514,3578.27,2/17/2020,03-01-2020,2/24/2020
349,11052,3374.99,2/17/2020,03-01-2020,2/24/2020
312,16928,3578.27,2/17/2020,03-01-2020,2/24/2020
313,27917,3578.27,2/18/2020,03-02-2020,2/25/2020
311,13693,3578.27,2/18/2020,03-02-2020,2/25/2020
350,11247,3374.99,2/18/2020,03-02-2020,2/25/2020
310,28078,3578.27,2/18/2020,03-02-2020,2/25/2020
350,25876,3374.99,2/18/2020,03-02-2020,2/25/2020
310,16701,3578.27,2/18/2020,03-02-2020,2/25/2020
311,16931,3578.27,2/18/2020,03-02-2020,2/25/2020
348,11032,3374.99,2/18/2020,03-02-2020,2/25/2020
313,22008,3578.27,2/19/2020,03-03-2020,2/26/2020
349,19830,3374.99,2/19/2020,03-03-2020,2/26/2020
314,16663,3578.27,2/19/2020,03-03-2020,2/26/2020
314,16708,3578.27,2/19/2020,03-03-2020,2/26/2020
310,17045,3578.27,2/19/2020,03-03-2020,2/26/2020
310,21921,3578.27,2/20/2020,03-04-2020,2/27/2020
312,17048,3578.27,2/20/2020,03-04-2020,2/27/2020
350,11050,3374.99,2/20/2020,03-04-2020,2/27/2020
311,12131,3578.27,2/21/2020,03-05-2020,2/28/2020
313,13689,3578.27,2/21/2020,03-05-2020,2/28/2020
344,11243,3399.99,2/21/2020,03-05-2020,2/28/2020
314,16693,3578.27,2/21/2020,03-05-2020,2/28/2020
313,16702,3578.27,2/21/2020,03-05-2020,2/28/2020
312,16707,3578.27,2/21/2020,03-05-2020,2/28/2020
310,17046,3578.27,2/21/2020,03-05-2020,2/28/2020
328,25272,699.1,2/21/2020,03-05-2020,2/28/2020
344,25868,3399.99,2/21/2020,03-05-2020,2/28/2020
342,17971,699.1,2/22/2020,03-06-2020,03-01-2020
351,11057,3374.99,2/22/2020,03-06-2020,03-01-2020
313,16742,3578.27,2/22/2020,03-06-2020,03-01-2020
313,13678,3578.27,2/23/2020,03-07-2020,03-02-2020
311,13679,3578.27,2/23/2020,03-07-2020,03-02-2020
314,13690,3578.27,2/23/2020,03-07-2020,03-02-2020
344,28394,3399.99,2/23/2020,03-07-2020,03-02-2020
313,28064,3578.27,2/23/2020,03-07-2020,03-02-2020
344,25878,3399.99,2/23/2020,03-07-2020,03-02-2020
314,16713,3578.27,2/23/2020,03-07-2020,03-02-2020
314,13538,3578.27,2/24/2020,03-08-2020,03-03-2020
310,17050,3578.27,2/24/2020,03-08-2020,03-03-2020
310,13691,3578.27,2/25/2020,03-09-2020,03-04-2020
314,16637,3578.27,2/25/2020,03-09-2020,03-04-2020
338,19329,699.1,2/26/2020,03-10-2020,03-05-2020
314,13542,3578.27,2/26/2020,03-10-2020,03-05-2020
310,13543,3578.27,2/26/2020,03-10-2020,03-05-2020
314,13559,3578.27,2/26/2020,03-10-2020,03-05-2020
338,14577,699.1,2/26/2020,03-10-2020,03-05-2020
350,11056,3374.99,2/26/2020,03-10-2020,03-05-2020
313,16688,3578.27,2/26/2020,03-10-2020,03-05-2020
342,25273,699.1,2/26/2020,03-10-2020,03-05-2020
310,27919,3578.27,2/27/2020,03-11-2020,03-06-2020
310,28041,3578.27,2/27/2020,03-11-2020,03-06-2020
344,11240,3399.99,2/27/2020,03-11-2020,03-06-2020
310,22050,3578.27,2/27/2020,03-11-2020,03-06-2020
310,28062,3578.27,2/27/2020,03-11-2020,03-06-2020
344,25867,3399.99,2/27/2020,03-11-2020,03-06-2020
310,17049,3578.27,2/27/2020,03-11-2020,03-06-2020
313,13541,3578.27,2/28/2020,03-12-2020,03-07-2020
349,28395,3374.99,2/28/2020,03-12-2020,03-07-2020
349,19829,3374.99,2/28/2020,03-12-2020,03-07-2020
313,16691,3578.27,2/28/2020,03-12-2020,03-07-2020
311,16656,3578.27,2/28/2020,03-12-2020,03-07-2020
351,11044,3374.99,2/28/2020,03-12-2020,03-07-2020
310,13821,3578.27,03-01-2020,3/13/2020,03-08-2020
310,28156,3578.27,03-01-2020,3/13/2020,03-08-2020
311,22114,3578.27,03-01-2020,3/13/2020,03-08-2020
314,17328,3578.27,03-01-2020,3/13/2020,03-08-2020
310,13765,3578.27,03-02-2020,3/14/2020,03-09-2020
311,13792,3578.27,03-02-2020,3/14/2020,03-09-2020
311,12221,3578.27,03-02-2020,3/14/2020,03-09-2020
313,13572,3578.27,03-02-2020,3/14/2020,03-09-2020
313,22058,3578.27,03-02-2020,3/14/2020,03-09-2020
313,28145,3578.27,03-02-2020,3/14/2020,03-09-2020
312,17071,3578.27,03-02-2020,3/14/2020,03-09-2020
310,17309,3578.27,03-02-2020,3/14/2020,03-09-2020
313,17310,3578.27,03-02-2020,3/14/2020,03-09-2020
310,17320,3578.27,03-02-2020,3/14/2020,03-09-2020
310,28172,3578.27,03-03-2020,3/15/2020,03-10-2020
312,17242,3578.27,03-03-2020,3/15/2020,03-10-2020
312,17315,3578.27,03-03-2020,3/15/2020,03-10-2020
328,25558,699.1,03-03-2020,3/15/2020,03-10-2020
346,11334,3399.99,03-04-2020,3/16/2020,03-11-2020
312,28168,3578.27,03-04-2020,3/16/2020,03-11-2020
311,28181,3578.27,03-04-2020,3/16/2020,03-11-2020
313,28131,3578.27,03-04-2020,3/16/2020,03-11-2020
346,25887,3399.99,03-04-2020,3/16/2020,03-11-2020
314,17055,3578.27,03-04-2020,3/16/2020,03-11-2020
311,13567,3578.27,03-05-2020,3/17/2020,03-12-2020
311,28182,3578.27,03-05-2020,3/17/2020,03-12-2020
312,28186,3578.27,03-05-2020,3/17/2020,03-12-2020
314,13772,3578.27,03-06-2020,3/18/2020,3/13/2020
311,28185,3578.27,03-06-2020,3/18/2020,3/13/2020
314,28193,3578.27,03-06-2020,3/18/2020,3/13/2020
310,28088,3578.27,03-06-2020,3/18/2020,3/13/2020
313,17065,3578.27,03-06-2020,3/18/2020,3/13/2020
338,14581,699.1,03-06-2020,3/18/2020,3/13/2020
314,17308,3578.27,03-06-2020,3/18/2020,3/13/2020
313,12211,3578.27,03-07-2020,3/19/2020,3/14/2020
311,28179,3578.27,03-07-2020,3/19/2020,3/14/2020
314,28183,3578.27,03-07-2020,3/19/2020,3/14/2020
313,28112,3578.27,03-07-2020,3/19/2020,3/14/2020
338,14584,699.1,03-07-2020,3/19/2020,3/14/2020
312,13784,3578.27,03-08-2020,3/20/2020,3/15/2020
311,17229,3578.27,03-08-2020,3/20/2020,3/15/2020
313,17246,3578.27,03-08-2020,3/20/2020,3/15/2020
314,12220,3578.27,03-09-2020,3/21/2020,3/16/2020
350,11337,3374.99,03-09-2020,3/21/2020,3/16/2020
312,28097,3578.27,03-09-2020,3/21/2020,3/16/2020
350,25888,3374.99,03-09-2020,3/21/2020,3/16/2020
347,11058,3399.99,03-09-2020,3/21/2020,3/16/2020
312,17294,3578.27,03-09-2020,3/21/2020,3/16/2020
310,17299,3578.27,03-09-2020,3/21/2020,3/16/2020
310,28158,3578.27,03-10-2020,3/22/2020,3/17/2020
314,17247,3578.27,03-10-2020,3/22/2020,3/17/2020
310,17280,3578.27,03-10-2020,3/22/2020,3/17/2020
347,25889,3399.99,03-12-2020,3/24/2020,3/19/2020
313,17069,3578.27,03-12-2020,3/24/2020,3/19/2020
334,20052,699.1,3/13/2020,3/25/2020,3/20/2020
322,20054,699.1,3/13/2020,3/25/2020,3/20/2020
348,11061,3374.99,3/13/2020,3/25/2020,3/20/2020
310,17248,3578.27,3/13/2020,3/25/2020,3/20/2020
312,13570,3578.27,3/14/2020,3/26/2020,3/21/2020
312,28164,3578.27,3/14/2020,3/26/2020,3/21/2020
310,17064,3578.27,3/14/2020,3/26/2020,3/21/2020
313,17249,3578.27,3/14/2020,3/26/2020,3/21/2020
314,17295,3578.27,3/14/2020,3/26/2020,3/21/2020
312,28096,3578.27,3/15/2020,3/27/2020,3/22/2020
310,28150,3578.27,3/15/2020,3/27/2020,3/22/2020
313,17259,3578.27,3/15/2020,3/27/2020,3/22/2020
311,17312,3578.27,3/15/2020,3/27/2020,3/22/2020
313,12254,3578.27,3/16/2020,3/28/2020,3/23/2020
311,28159,3578.27,3/16/2020,3/28/2020,3/23/2020
312,28149,3578.27,3/16/2020,3/28/2020,3/23/2020
336,14580,699.1,3/16/2020,3/28/2020,3/23/2020
312,17285,3578.27,3/16/2020,3/28/2020,3/23/2020
347,11250,3399.99,3/17/2020,3/29/2020,3/24/2020
313,28162,3578.27,3/17/2020,3/29/2020,3/24/2020
347,25879,3399.99,3/17/2020,3/29/2020,3/24/2020
311,17257,3578.27,3/17/2020,3/29/2020,3/24/2020
310,13783,3578.27,3/18/2020,3/30/2020,3/25/2020
313,28154,3578.27,3/18/2020,3/30/2020,3/25/2020
312,28170,3578.27,3/18/2020,3/30/2020,3/25/2020
310,17351,3578.27,3/18/2020,3/30/2020,3/25/2020
311,17332,3578.27,3/18/2020,3/30/2020,3/25/2020
312,28180,3578.27,3/19/2020,3/31/2020,3/26/2020
314,13560,3578.27,3/19/2020,3/31/2020,3/26/2020
310,28148,3578.27,3/19/2020,3/31/2020,3/26/2020
311,22109,3578.27,3/19/2020,3/31/2020,3/26/2020
338,14590,699.1,3/19/2020,3/31/2020,3/26/2020
345,11060,3399.99,3/19/2020,3/31/2020,3/26/2020
314,17255,3578.27,3/19/2020,3/31/2020,3/26/2020
311,17258,3578.27,3/19/2020,3/31/2020,3/26/2020
310,13847,3578.27,3/20/2020,04-01-2020,3/27/2020
314,28166,3578.27,3/20/2020,04-01-2020,3/27/2020
322,20060,699.1,3/21/2020,04-02-2020,3/28/2020
313,12255,3578.27,3/21/2020,04-02-2020,3/28/2020
349,28401,3374.99,3/21/2020,04-02-2020,3/28/2020
344,11333,3399.99,3/21/2020,04-02-2020,3/28/2020
344,25886,3399.99,3/21/2020,04-02-2020,3/28/2020
312,17241,3578.27,3/21/2020,04-02-2020,3/28/2020
334,17973,699.1,3/21/2020,04-02-2020,3/28/2020
312,17334,3578.27,3/21/2020,04-02-2020,3/28/2020
310,13841,3578.27,3/22/2020,04-03-2020,3/29/2020
312,28184,3578.27,3/22/2020,04-03-2020,3/29/2020
313,22117,3578.27,3/22/2020,04-03-2020,3/29/2020
312,28191,3578.27,3/22/2020,04-03-2020,3/29/2020
310,17056,3578.27,3/22/2020,04-03-2020,3/29/2020
311,17079,3578.27,3/22/2020,04-03-2020,3/29/2020
311,12217,3578.27,3/23/2020,04-04-2020,3/30/2020
311,13580,3578.27,3/23/2020,04-04-2020,3/30/2020
313,28155,3578.27,3/23/2020,04-04-2020,3/30/2020
313,28163,3578.27,3/23/2020,04-04-2020,3/30/2020
312,17278,3578.27,3/23/2020,04-04-2020,3/30/2020
312,17329,3578.27,3/23/2020,04-04-2020,3/30/2020
330,25556,699.1,3/23/2020,04-04-2020,3/30/2020
312,12219,3578.27,3/24/2020,04-05-2020,3/31/2020
310,17233,3578.27,3/24/2020,04-05-2020,3/31/2020
313,17240,3578.27,3/24/2020,04-05-2020,3/31/2020
313,13845,3578.27,3/25/2020,04-06-2020,04-01-2020
312,28167,3578.27,3/25/2020,04-06-2020,04-01-2020
311,28190,3578.27,3/25/2020,04-06-2020,04-01-2020
312,13777,3578.27,3/26/2020,04-07-2020,04-02-2020
310,28099,3578.27,3/26/2020,04-07-2020,04-02-2020
314,28142,3578.27,3/26/2020,04-07-2020,04-02-2020
340,14585,699.1,3/26/2020,04-07-2020,04-02-2020
312,17232,3578.27,3/26/2020,04-07-2020,04-02-2020
313,12212,3578.27,3/27/2020,04-08-2020,04-03-2020
310,13579,3578.27,3/27/2020,04-08-2020,04-03-2020
312,28171,3578.27,3/27/2020,04-08-2020,04-03-2020
312,28194,3578.27,3/27/2020,04-08-2020,04-03-2020
312,22112,3578.27,3/27/2020,04-08-2020,04-03-2020
322,20149,699.1,3/27/2020,04-08-2020,04-03-2020
310,17279,3578.27,3/27/2020,04-08-2020,04-03-2020
313,17286,3578.27,3/27/2020,04-08-2020,04-03-2020
320,25557,699.1,3/27/2020,04-08-2020,04-03-2020
336,25559,699.1,3/27/2020,04-08-2020,04-03-2020
336,19339,699.1,3/28/2020,04-09-2020,04-04-2020
312,13820,3578.27,3/28/2020,04-09-2020,04-04-2020
326,14589,699.1,3/29/2020,04-10-2020,04-05-2020
314,13794,3578.27,3/30/2020,04-11-2020,04-06-2020
314,13846,3578.27,3/30/2020,04-11-2020,04-06-2020
311,12256,3578.27,3/30/2020,04-11-2020,04-06-2020
311,28147,3578.27,3/30/2020,04-11-2020,04-06-2020
314,28152,3578.27,3/30/2020,04-11-2020,04-06-2020
311,17256,3578.27,3/30/2020,04-11-2020,04-06-2020
313,17277,3578.27,3/30/2020,04-11-2020,04-06-2020
311,17288,3578.27,3/30/2020,04-11-2020,04-06-2020
310,17293,3578.27,3/30/2020,04-11-2020,04-06-2020
313,17326,3578.27,3/30/2020,04-11-2020,04-06-2020
314,14429,3578.27,3/31/2020,04-12-2020,04-07-2020
311,28222,3578.27,3/31/2020,04-12-2020,04-07-2020
328,17975,699.1,3/31/2020,04-12-2020,04-07-2020
